"date","weight","education","religiosity","political","income","gender","age","Year","letter","gun","physical","Direct_Violence","exclusion1","exclusion2","exclusion3","exclusion4","Exclusion","distancing1","distancing2","distancing3","distancing4","Distancing","threat1","threat2","threat3","threat","edu1","edu2","edu3","inc1","inc2","year03","year04","rel1","rel2","rel3","Cthreat","Cpol","Cgender","CpolXCgender","CthreatXCgender","leftist"
2003-03-09,1.32,NA,"traditional","right",2,"M",23,2003,4,NA,4,4,4,1,1,4,2.5,4,1,1,2,5,1,6,6,4.33333333333333,NA,NA,NA,1,0,1,0,0,1,0,0.603333333333333,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-05,0.746,NA,"religious","right",NA,"M",54,2005,1,3,NA,2,6,6,6,6,6,1,2,1,1,5.75,6,NA,1,3.5,NA,NA,NA,NA,NA,0,0,0,0,0,-0.23,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-01,1.32,NA,"traditional","left",2,"M",36,2005,1,1,1,1,1,6,2,6,3.75,6,6,1,6,2.25,6,6,1,4.33333333333333,NA,NA,NA,1,0,0,0,0,1,0,0.603333333333333,1.27,-0.53,0,0,"Leftist"
2005-05-01,0.746,NA,"religious","right",NA,"M",35,2005,6,1,NA,3.5,6,6,6,6,6,1,1,1,1,6,6,6,6,6,NA,NA,NA,NA,NA,0,0,0,0,0,2.27,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-02,1.32,NA,"traditional","center",2,"M",41,2005,1,1,1,1,6,6,1,6,4.75,1,6,1,3,4.25,1,6,6,4.33333333333333,NA,NA,NA,1,0,0,0,0,1,0,0.603333333333333,0.27,-0.53,0,0,"Non-Leftist"
2005-05-16,1.32,NA,"secular","left",2,"M",20,2005,1,1,1,1,1,3,1,3,2,5,6,2,6,2.25,2,2,4,2.66666666666667,NA,NA,NA,1,0,0,0,1,0,0,-1.06333333333333,1.27,-0.53,0,0,"Leftist"
2005-05-15,0.746,NA,"religious","center",1,"M",30,2005,1,1,1,1,4,6,6,6,5.5,1,1,1,1,6,6,6,6,6,NA,NA,NA,1,0,0,0,0,0,0,2.27,NA,-0.53,0,0,"Non-Leftist"
2005-05-09,0.746,NA,"religious","right",1,"M",39,2005,1,1,1,1,5,6,6,6,5.75,1,1,1,1,6,6,6,6,6,NA,NA,NA,1,0,0,0,0,0,0,2.27,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-09,0.746,NA,"religious","center",2,"M",38,2005,1,1,1,1,NA,6,6,6,6,1,3,1,1,5.5,6,6,6,6,NA,NA,NA,1,0,0,0,0,0,0,2.27,0.27,-0.53,0,0,"Non-Leftist"
2005-05-16,0.746,NA,"religious","right",2,"M",63,2005,1,1,2,1.33333333333333,4,6,2,6,4.5,1,1,1,2,5.75,5,3,2,3.33333333333333,NA,NA,NA,1,0,0,0,0,0,0,-0.396666666666667,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-02,0.746,NA,"religious","center",5,"M",41,2005,NA,1,1,1,6,6,6,6,6,1,1,1,1,6,6,6,6,6,NA,NA,NA,0,0,0,0,0,0,0,2.27,NA,-0.53,0,0,"Non-Leftist"
2005-05-09,0.746,NA,"religious","right",1,"M",27,2005,1,1,1,1,3,3,3,6,3.75,3,3,1,1,5,4,3,3,3.33333333333333,NA,NA,NA,1,0,0,0,0,0,0,-0.396666666666667,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-02,0.746,NA,"religious","right",NA,"M",44,2005,1,1,1,1,1,4,1,5,2.75,1,1,1,1,6,5,1,1,2.33333333333333,NA,NA,NA,NA,NA,0,0,0,0,0,-1.39666666666667,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-02,0.746,NA,"religious","right",NA,"M",38,2005,3,1,1,1.66666666666667,6,3,3,6,4.5,1,1,1,1,6,5,6,6,5.66666666666667,NA,NA,NA,NA,NA,0,0,0,0,0,1.93666666666667,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-05,0.746,NA,"religious","right",4,"M",29,2005,2,1,1,1.33333333333333,1,1,1,6,2.25,4,6,1,5,3,4,4,4,4,NA,NA,NA,0,0,0,0,0,0,0,0.27,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-03,0.746,NA,"religious","center",1,"M",27,2005,1,1,1,1,4,5,3,6,4.5,2,6,1,3,4,4,4,6,4.66666666666667,NA,NA,NA,1,0,0,0,0,0,0,0.936666666666667,NA,-0.53,0,0,"Non-Leftist"
2005-05-08,0.42,NA,"religious","right",2,"M",32,2005,1,1,1,1,6,6,6,6,6,6,6,1,3,3,6,6,6,6,NA,NA,NA,1,0,0,0,0,0,1,2.27,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-16,0.42,NA,"religious","right",NA,"M",29,2005,1,1,1,1,1,6,1,6,3.5,NA,NA,1,NA,6,NA,NA,3,3,NA,NA,NA,NA,NA,0,0,0,0,1,-0.73,-0.73,-0.53,0,0,"Non-Leftist"
2005-05-08,0.42,NA,"secular","center",4,"M",38,2005,1,1,1,1,1,1,1,1,1,4,2,2,4,4,2,2,3,2.33333333333333,NA,NA,NA,0,0,0,0,1,0,0,-1.39666666666667,0.27,-0.53,0,0,"Non-Leftist"
2005-05-08,0.42,NA,"religious","right",NA,"M",57,2005,6,1,3,3.33333333333333,1,6,6,6,4.75,6,1,1,1,4.75,3,5,2,3.33333333333333,NA,NA,NA,NA,NA,0,0,0,0,0,-0.396666666666667,-1.73,-0.53,0,0,"Non-Leftist"
