SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,910 Powhatan St Unit 105S,Alexandria,VA,22314,479900,1,1.5,NORTH WASHINGTON ST COND,750,,2010,3,640,444,Active,,,https://www.redfin.com/VA/Alexandria/910-Powhatan-St-22314/unit-105S/home/39967125,BRIGHT MLS,VAAX2005864,N,Y,38.8148146,-77.0457872
MLS Listing,,Townhouse,508 E Luray Ave,Alexandria,VA,22301,695000,2,2.0,BRENTON,1200,1504,1944,3,579,,Active,,,https://www.redfin.com/VA/Alexandria/508-E-Luray-Ave-22301/home/22668757,BRIGHT MLS,VAAX2006066,N,Y,38.8183417,-77.0544424
MLS Listing,,Townhouse,100 E Reed Ave Unit 1/2,Alexandria,VA,22305,469900,2,1.0,BEAUMONT,680,2625,1947,3,691,,Active,,,https://www.redfin.com/VA/Alexandria/100-E-Reed-Ave-22305/unit-1-2/home/11845245,BRIGHT MLS,VAAX2005832,N,Y,38.83712,-77.05425
MLS Listing,,Single Family Residential,7922 Bayberry Dr,Alexandria,VA,22306,665000,3,2.0,SHERWOOD HALL,2140,10523,1961,4,311,,Active,,,https://www.redfin.com/VA/Alexandria/7922-Bayberry-Dr-22306/home/9817044,BRIGHT MLS,VAFX2032938,N,Y,38.7418789,-77.072883
MLS Listing,,Townhouse,5010 Waple Ln,Alexandria,VA,22304,890000,3,3.5,CAMERON STATION,2594,2020,2001,5,343,133,Active,,,https://www.redfin.com/VA/Alexandria/5010-Waple-Ln-22304/home/11873819,BRIGHT MLS,VAAX2005808,N,Y,38.8110047,-77.1177968
MLS Listing,,Condo/Co-op,2500 N Van Dorn St #903,Alexandria,VA,22302,239000,2,2.0,PARK PLACE,1042,,1965,9,229,811,Active,,,https://www.redfin.com/VA/Alexandria/2500-N-Van-Dorn-St-22302/unit-903/home/11867897,BRIGHT MLS,VAAX2005804,N,Y,38.8326778,-77.0997478
MLS Listing,,Condo/Co-op,520 John Carlyle St #408,Alexandria,VA,22314,600000,2,2.0,CONDOS AT CARLYLE SQUARE,1095,,2007,11,548,663,Active,,,https://www.redfin.com/VA/Alexandria/520-John-Carlyle-St-22314/unit-408/home/17061765,BRIGHT MLS,VAAX2005634,N,Y,38.8019355,-77.0615516
MLS Listing,,Single Family Residential,3303 Arundel Ave,Alexandria,VA,22306,1229000,6,6.0,VALLEY VIEW,5639,10977,2007,11,218,,Active,,,https://www.redfin.com/VA/Alexandria/3303-Arundel-Ave-22306/home/12069313,BRIGHT MLS,VAFX2031260,N,Y,38.7654716,-77.0876088
MLS Listing,,Condo/Co-op,114 Roberts Ln #201,Alexandria,VA,22314,358000,2,2.0,FORT ELLSWORTH,1118,,1974,16,320,562,Active,,,https://www.redfin.com/VA/Alexandria/114-Roberts-Ln-22314/unit-201/home/11850709,BRIGHT MLS,VAAX2005692,N,Y,38.807719,-77.071994
MLS Listing,,Condo/Co-op,3340 S 28th St #101,Alexandria,VA,22302,288000,2,2.0,BOLLING BROOK,960,,1961,17,300,524,Active,,,https://www.redfin.com/VA/Alexandria/3340-S-28th-St-22302/unit-101/home/11869018,BRIGHT MLS,VAAX2005670,N,Y,38.8397301,-77.1081995
MLS Listing,,Townhouse,3212 Gunston Rd #718,Alexandria,VA,22302,365000,2,1.0,PARKFAIRFAX,900,,1941,20,406,469,Active,,,https://www.redfin.com/VA/Alexandria/3212-Gunston-Rd-22302/unit-718/home/143408805,BRIGHT MLS,VAAX2005262,N,Y,38.8342253,-77.0788566
MLS Listing,,Single Family Residential,2953 Viewpoint Rd,Alexandria,VA,22314,980000,5,3.0,CLOVER,2281,7200,1955,25,430,,Active,,,https://www.redfin.com/VA/Alexandria/2953-Viewpoint-Rd-22314/home/11850955,BRIGHT MLS,VAAX2005392,N,Y,38.809629,-77.0799876
MLS Listing,,Townhouse,676 S Columbus St,Alexandria,VA,22314,1049000,3,3.5,WASHINGTON SQUARE,2031,,1978,31,516,610,Active,,,https://www.redfin.com/VA/Alexandria/676-S-Columbus-St-22314/home/11863282,BRIGHT MLS,VAAX2005170,N,Y,38.7987495,-77.049368
MLS Listing,,Single Family Residential,8635 Vernon Ave,Alexandria,VA,22309,675000,4,2.5,MOUNT VERNON HILLS,2240,8800,1975,35,301,,Active,,,https://www.redfin.com/VA/Alexandria/8635-Vernon-Ave-22309/home/162821292,BRIGHT MLS,VAFX2027846,N,Y,38.7223789,-77.0910034
MLS Listing,,Condo/Co-op,5501 Seminary Rd Unit 2304S,Falls Church,VA,22041,450000,3,2.5,SKYLINE SQUARE,1735,,1982,37,259,744,Active,,,https://www.redfin.com/VA/Falls-Church/5501-Seminary-Rd-22041/unit-2304S/home/9662081,BRIGHT MLS,VAFX2028332,N,Y,38.8419602,-77.1202465
MLS Listing,,Condo/Co-op,112 Roberts Ln #300,Alexandria,VA,22314,409900,3,2.0,FORT ELLSWORTH,1282,,1974,37,320,655,Active,,,https://www.redfin.com/VA/Alexandria/112-Roberts-Ln-22314/unit-300/home/11850702,BRIGHT MLS,VAAX2005080,N,Y,38.8075727,-77.0720759
MLS Listing,,Townhouse,5001 Domain Pl #2,Alexandria,VA,22311,579900,3,3.0,DOMAIN,2070,,1975,41,280,117,Active,,,https://www.redfin.com/VA/Alexandria/5001-Domain-Pl-22311/unit-2/home/39856654,BRIGHT MLS,VAAX2000215,N,Y,38.8390311,-77.1144526
MLS Listing,,Condo/Co-op,5916 Founders Hill Dr #202,Alexandria,VA,22310,369999,2,2.0,FOUNDERS WALK CONDO,1069,,1996,44,346,345,Active,,,https://www.redfin.com/VA/Alexandria/5916-Founders-Hill-Dr-22310/unit-202/home/9755202,BRIGHT MLS,VAFX2027578,N,Y,38.791195,-77.140721
MLS Listing,,Condo/Co-op,2451 Midtown Ave #1025,Alexandria,VA,22303,319900,1,1.0,MIDTOWN ALEXANDRIA STATI,805,,2007,51,397,373,Active,,,https://www.redfin.com/VA/Alexandria/2451-Midtown-Ave-22303/unit-1025/home/22060305,BRIGHT MLS,VAFX2026288,N,Y,38.7966107,-77.0742479
MLS Listing,,Townhouse,8284 Clifton Farm Ct,Alexandria,VA,22306,550000,4,3.5,HUNTINGTON AT MOUNT VERN,2158,2438,1978,59,255,115,Active,,,https://www.redfin.com/VA/Alexandria/8284-Clifton-Farm-Ct-22306/home/9819675,BRIGHT MLS,VAFX2025800,N,Y,38.733809,-77.078494
MLS Listing,,Condo/Co-op,1731 Preston Rd #960,Alexandria,VA,22302,327000,1,1.0,PARKFAIRFAX,780,,1941,74,419,399,Active,,,https://www.redfin.com/VA/Alexandria/1731-Preston-Rd-22302/unit-960/home/177016175,BRIGHT MLS,VAAX2003972,N,Y,38.8365403,-77.0826716
MLS Listing,,Condo/Co-op,7975 Audubon Ave Unit A1,Alexandria,VA,22306,182000,2,1.5,COLCHESTER TOWNE CONDO,872,,1973,79,209,490,Active,,,https://www.redfin.com/VA/Alexandria/7975-Audubon-Ave-22306/unit-A1/home/9813413,BRIGHT MLS,VAFX2023042,N,Y,38.7410736,-77.0931839
MLS Listing,,Townhouse,2910 S Dinwiddie St,Arlington,VA,22206,525000,3,2.0,FAIRLINGTON VILLAGE,1383,,1948,94,380,406,Active,,,https://www.redfin.com/VA/Arlington/2910-S-Dinwiddie-St-22206/home/11861473,BRIGHT MLS,VAAX2003240,N,Y,38.8386934,-77.1040904
