SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6608 Red Jacket Rd,Springfield,VA,22152,750000,5,3.5,ORANGE HUNT ESTATES,2257,26344,1967,12,332,,Active,,,https://www.redfin.com/VA/Springfield/6608-Red-Jacket-Rd-22152/home/9767129,BRIGHT MLS,VAFX2080596,N,Y,38.7718053,-77.2529306
MLS Listing,,Single Family Residential,9120 Steven Irving Ct,Springfield,VA,22153,769000,4,2.5,ORANGE HUNT ESTATES,2304,13829,1970,20,334,,Active,,,https://www.redfin.com/VA/Springfield/9120-Steven-Irving-Ct-22153/home/9767405,BRIGHT MLS,VAFX2079250,N,Y,38.7676551,-77.2597999
MLS Listing,,Single Family Residential,6313 Capella Ave,Burke,VA,22015,699500,4,3.0,BENT TREE,1888,10948,1973,22,370,,Active,,,https://www.redfin.com/VA/Burke/6313-Capella-Ave-22015/home/9737024,BRIGHT MLS,VAFX2065578,N,Y,38.7792415,-77.2751087
MLS Listing,,Townhouse,8890 Eagle Rock Ln,Springfield,VA,22153,609999,3,3.5,MIDDLEFORD SEC 2,2324,2100,1991,32,262,83,Active,,,https://www.redfin.com/VA/Springfield/8890-Eagle-Rock-Ln-22153/home/9775671,BRIGHT MLS,VAFX2077614,N,Y,38.7545119,-77.2490666
MLS Listing,,Single Family Residential,7200 Neaptide Ln,Burke,VA,22015,795000,5,3.0,LONGWOOD KNOLLS,2614,9731,1978,33,304,5,Active,,,https://www.redfin.com/VA/Burke/7200-Neaptide-Ln-22015/home/9769126,BRIGHT MLS,VAFX2077626,N,Y,38.7603198,-77.2766574
MLS Listing,,Condo/Co-op,5825 Cove Lndg #102,Burke,VA,22015,299900,1,1.0,BURKE COVE CONDO,945,,1982,2,317,314,Active,,,https://www.redfin.com/VA/Burke/5825-Cove-Landing-Rd-22015/unit-102/home/180557595,BRIGHT MLS,VAFX2084084,N,Y,38.793628,-77.304332
MLS Listing,,Townhouse,6804 Brian Michael Ct,Springfield,VA,22153,515000,3,2.5,TOWNES OF ORANGE HUNT,1408,1900,1974,3,366,102,Active,,,https://www.redfin.com/VA/Springfield/6804-Brian-Michael-Ct-22153/home/9767901,BRIGHT MLS,VAFX2084008,N,Y,38.770034,-77.263121
MLS Listing,,Single Family Residential,9111 Wax Myrtle Ct,Burke,VA,22015,649900,3,2.0,FOX LAIR,1324,8615,1978,4,491,4,Active,July-24-2022 01:00 PM,July-24-2022 04:00 PM,https://www.redfin.com/VA/Burke/9111-Wax-Myrtle-Ct-22015/home/9736146,BRIGHT MLS,VAFX2083868,N,Y,38.7956224,-77.2589693
MLS Listing,,Single Family Residential,6301 Capella Ave,Burke,VA,22015,799000,4,3.5,BENT TREE,2197,10836,1973,5,364,,Active,,,https://www.redfin.com/VA/Burke/6301-Capella-Ave-22015/home/9737018,BRIGHT MLS,VAFX2083578,N,Y,38.7801526,-77.2746149
MLS Listing,,Single Family Residential,6118 Windward Dr,Burke,VA,22015,719500,3,3.5,BURKE CENTRE,2611,6920,1979,5,276,77,Active,,,https://www.redfin.com/VA/Burke/6118-Windward-Dr-22015/home/9737791,BRIGHT MLS,VAFX2081800,N,Y,38.7844455,-77.2865552
MLS Listing,,Townhouse,8812 Surveyors Pl,Springfield,VA,22152,525000,3,3.0,HILLSIDE COMMONS,1590,2287,1978,5,330,107,Active,,,https://www.redfin.com/VA/West-Springfield/8812-Surveyors-Pl-22152/home/9744398,BRIGHT MLS,VAFX2079246,N,Y,38.777979,-77.247313
MLS Listing,,Single Family Residential,10723 Acorn Knoll Ct,Burke,VA,22015,799000,4,2.5,BURKE CENTRE,2570,9263,1978,4,311,76,Active,,,https://www.redfin.com/VA/Burke/10723-Acorn-Knoll-Ct-22015/home/9726859,BRIGHT MLS,VAFX2079220,N,Y,38.7925863,-77.3166701
MLS Listing,,Townhouse,9887 Lakepointe Dr,Burke,VA,22015,500000,4,3.5,LAKEPOINTE,1921,1500,1972,5,260,98,Active,,,https://www.redfin.com/VA/Burke/9887-Lakepointe-Dr-22015/home/9733432,BRIGHT MLS,VAFX2082308,N,Y,38.801847,-77.285561
MLS Listing,,Single Family Residential,9532 Burning Branch Rd,Burke,VA,22015,715000,3,2.5,CARDINAL GLEN,2107,12373,1978,1,339,,Active,,,https://www.redfin.com/VA/Burke/9532-Burning-Branch-Rd-22015/home/9737240,BRIGHT MLS,VAFX2082422,N,Y,38.7861218,-77.2773083
MLS Listing,,Townhouse,9390 Tucker Woods Ct,Burke,VA,22015,649900,3,2.5,WOODED GLEN SEC 2,1542,2944,1986,7,421,98,Active,,,https://www.redfin.com/VA/Burke/9390-Tucker-Woods-Ct-22015/home/9768761,BRIGHT MLS,VAFX2079040,N,Y,38.7715523,-77.2692229
MLS Listing,,Townhouse,6337 Fenestra Ct #126,Burke,VA,22015,479900,3,2.5,KEENE MILL WOODS,2040,,1976,7,235,397,Active,,,https://www.redfin.com/VA/Burke/6337-Fenestra-Ct-22015/unit-126/home/82047733,BRIGHT MLS,VAFX2080640,N,Y,38.7798256,-77.2601393
