DEPARTMENT,NAME,POPULATION,LEG2011ID,LEG2011TUR,RDRLEG2011,PDCILEG11,LEG2011WIN,N2011WINPC,MUN2013ID,MUN2013TUR,RDRMUN2013,PDCIMUN13,MUN2013WIN,N2013WINPC,Ouattara2010votes,total2010votes,Ouattara2010vs,Primary.Ethnicity,Mining.EconActivity,PavedRoad.Access,Prefecture,Mairie,Gendarmerie.Police.Poste,HealthClinic,Secondary.School,Bank,ServiceAccess.Index,Feel.Secure,DateFNarrived,FN.Presence.Type,FN.Commander,Commander.FromDepartment,Joined.FN,Joined.Ethnicity,Joined.Roles,Joined.Num,Majority.FN.FromElsewhere,Foreign.FN.Origins,Other.Armedgroups,Combat,Combat.Groups,Combat.Years,Combat.CasualtiesNum,Civilian.Victims,Civilian.Victims.Reason,Civilian.Victims.Num,Pillage,Pillage.Auteurs,FN.Organizedmeetings,Leaders.Cooperated,Cooperation.Types,Which.Leaders.Cooperated,Leaders.Opposed,Which.Leaders.Opposed,Leaders.Fled,Which.Leaders.Fled,MaintainOrder,LandDisputes,ProtectfromAttacks,Education,Education.FNinvolved,Health,Health.FNinvolved,Infrastructure,ProvideLoans,FN.CollectedTaxes,CollectedTaxes.How,Tensions,Tensions.Causes,ProvidedServices.Post2011,WhichServices.Post2011,CollectedTaxes.Post2011First2years,CollectedTaxes.Post2011First2years.How,ProvideServices.Today,ProvideServices.Today.How,CollectTaxes.Today,CollectTaxes.Today.How,CollectTaxes.Postwar.DUMMY,FN.LeaderVisits.Post2011First2years,FN.LeaderVisits.Post2011First2years.Why,FN.LeaderVisits.Today,FN.LeaderVisits.Today.Why,FN.LeaderVisits.DUMMY,FN.MaterialSupport.Post2011,MaterialSupport.Types,FN.Leader.LocalInterests,FN.MaterialSupport.DUMMY,FN.MP2016,FN.Maire,FN.ConseilRegional,FN.OtherPosition,FN.PoliticalPosition.DUMMY,Respondent.Profession,Respondent.Religion,Respondent.Ethnicity,Respondent.Education,Comprehension,Sincerity,Knowledge,ServiceAccess.Index2,Anypostwarinfluence,Ethnicity.Northern,Combat.DUMMY,Recruitment.DUMMY,Postwarinfluence.Index,FN.Organizedmeetings.DUMMY,Leaders.Cooperated.DUMMY,Predation.Index,CivilianViolence.DUMMY,Pillage.DUMMY,Tensions.DUMMY,CollaborativeGov,EliteSupport,Servicespost2011.DUMMY,Postwarinfluence.Index2,RDRindex,LPOP,BLOCKindex,FN.Governance.Index2,mining.DUMMY,LPOP2,spectrum,NAME2,commanderlocal.DUMMY,comzones,northern,pauv,harm_index_hh1,distance,victim,joined,taxed,supportFN_2,supportPROGOV,supportARMY,order
Danané,Danan�,104672,193,45.4,26.2,3.97,UDPCI,34.6,105,51.7,42,12.2,RDR,42,7673,55982,0.137062,Yacouba,0,1,yes,yes,yes,yes,yes,yes,6,no,2002,Camp militaire,"Israel, Doh Felix, Abou Fama (""commandant de secteur"")",no,yes,"Malinke, Yacouba",Militaires,entre cent et deux-cent,no,"Nord, CEDEAO, Liberia","dozos, forces impartiales, autre (MPIGO)",yes,"FN, Liberiens, Dozo",2003,plus de cent,yes,des elements incontroles,plus de cent,yes,"FN, autre (Liberiens)",yes,yes,"mediation, public services","chefs traditionnels, politiciens locaux",no,n/a,yes,"religieux, politiciens locaux, enseignants, personnel de sante, autres fonctionnaires","FN, dozos, forces impartiales, autre (MILOBs)","FN, chefs traditionnels",FN,"enseignants professionnels, enseignants volontaires",0,"personnels de sante professionels, personnels de sante volontaires, ONG locale, acteurs internationaux",0,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, licences pour les taxis, impots au marché",occasionellement,"questions de terre/propriete, mauvais comportement de certains elements des FN",yes,maintenir l'ordre,yes,barrages routiers,no,n/a,no,n/a,1,"oui, il reside/a reside ici","visite de nature militaire, ceremonies publiques de nature politique","oui, il vient au moins chaque mois","ceremonies ne nature privee, visite de nature privee",1,yes,commandant/leader des FN finance des oeuvres de developpement,yes,1,no,no,no,fonctionnaire,1,adjoint au maire,autre chrétien,Yacouba,autres qualification post-secondaire qu'universitaire,pas de difficultés,très sincère,bonne connaissance,8,1,0,1,1,3,1,1,3,1,1,1,1,0,1,4,34.1,11.55858693,38.3,2,0,11.55858693,1,Danan�,0,0,0.053571429,0.447916667,4.573333333,NA,0.625,0.325,0.475,0.125,0.125,0.275,1.175
Man,Podiagouin�,21694,196,41.5,14.2,10.8,Independent,51.3,108,60.1,48.8,NA,RDR,48.8,20891,88288,0.236623,Yacouba,0,0,no,no,no,yes,yes,no,2,no,2002,Camp militaire,"Yah Roger, Zoh Emile, Bonti Roger",no,yes,"Yacouba, Senoufo, Burkinabé",Militaires,moins de cinquante,yes,"Nord, Bangolo, Danane",forces impartiales,no,n/a,n/a,n/a,no,n/a,n/a,yes,FN,no,yes,mediation,"chefs traditionnels, réligieux",no,n/a,yes,"politiciens locaux, enseignants, commercants, personnels de santé, autres fonctionnaires",FN,"FN, chefs traditionnels",FN,enseignants volontaires,0,"personnels de sante volontaires, acteurs internationaux, autre (cadres)",0,personne,personne,yes,"barrages routiers, impôts au marché",occasionellement,"trop de barrages, problemes de terre, occupation des maisons, conflit d'autorité entre differents leaders",no,n/a,yes,barrages routiers,no,n/a,n/a,n/a,1,no,n/a,no,n/a,0,no,n/a,no,0,no,no,no,no,0,"planteur, chef du village",catholique,Yacouba,CEPE,quelques difficultés dans la comprehension,très sincère,bonne connaissance,4,1,0,0,1,0,0,1,2,0,1,1,0,0,0,0,31.5,9.984791004,50.05,2,0,9.984791004,0,Podiagouin�,0,0,0.090909091,NA,NA,NA,0.44,0.36,0.4,0.1,0.06,0.32,2.02
Danané,Mahapleu,44368,194,39.8,11.5,NA,UDPCI,47.7,105,51.7,42,12.2,RDR,42,7673,55982,0.137062,Yacouba,0,1,no,no,yes,yes,yes,yes,4,no,2002,Camp militaire,"CO Ondo, CO Rodrik (chef d'unite), comsecteur ""Captain Eddie"" at Danane",no,yes,"Yacouba, Burkinabe, Malinke, Liberien","Militaires, collecteur d'impot",moins de cinquante,yes,"Nord, Liberia","dozos, forces impartiales",yes,FN-FDS,2002,moins de vingt,yes,c'etait la loi du plus fort,plus de cent,yes,"FN, autre groups armé organisé (MPIGO)",no,yes,"mediation, public services",chefs traditionnels,no,n/a,yes,"chefs traditionnels, religieux, politiciens locaux, commercants, enseignants, personnel de sante",FN,FN,"FN, forces impartiales","enseignants volontaires, ONG locale",0,acteurs internationaux,0,acteurs internationaux,personne,yes,"directement des commercants, laisser-passer, barrages routiers, licences pour les taxis, impots au marché",frequemment,"taxation, mauvais comportement de FN",yes,maintenir l'ordre,yes,barrages routiers,no,n/a,no,n/a,1,"oui, au moins chaque mois",visite de nature privée,"oui, occasionnellement",visite de nature privée,1,don't know,n/a,yes,0,no,no,no,no,0,president de jeunes,aucune,Yacouba,BEPC,pas de difficultés,très sincere,bonne connaissance,6,1,0,1,1,1,0,1,4,1,1,1,1,0,1,2,26.75,10.70027377,44.85,2,0,10.70027377,-1,Mahapleu,0,0,0.047619048,0.559322034,6.775510204,0.309845649,0.625,0.325,0.475,0.125,0.125,0.275,1.175
Vavoua,K�tro-Bassam,24934,105,34.1,51.2,45.6,RDR,51.2,116,41.7,36.9,19.6,RDR,36.9,10830,38705,0.27980881,Sokuya,0,0,no,no,no,yes,yes,no,2,no,2002,Camp militaire,"Fami Tia (""chef de poste"")",no,no,n/a,n/a,n/a,yes,Nord,"dozos, force impartiales",no,n/a,n/a,n/a,yes,conflit entre burkinabe et autochtone,entre vingt et cinquante,yes,FN,no,no,n/a,n/a,no,n/a,yes,"chefs traditionnels, religieux, commercants, enseignants",FN,FN,FN,enseignants volontaires,0,personne,0,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, impots au marché",occasionellement,"mauvais comportement de FN, questions ethniques",yes,maintenir l'ordre,yes,barrages routiers,yes,maintenir l'ordre,yes,barrages routiers,1,no,n/a,no,n/a,0,no,n/a,no,0,no,no,no,no,0,"Agriculteur, chef de gare",Autre chrétien,Sokuya,CEPE,pas de difficultés,très sincere,bonne connaissance,4,1,0,0,0,0,0,0,3,1,1,1,0,0,1,1,44.05,10.12398761,44.05,2,0,10.12398761,0,K�tro-Bassam,0,0,0.083333333,NA,NA,NA,0.614285714,0.457142857,0.557142857,0.014285714,0.014285714,0.071428571,1.014285714
Vavoua,Vavoua,134651,105,34.1,51.2,45.6,RDR,51.2,116,41.7,36.9,19.6,RDR,36.9,10830,38705,0.27980881,Mande du Sud,0,1,yes,yes,yes,yes,yes,yes,6,yes,2002,Camp militaire,Lieutenant Ouattara (Charles Ye/Hie),don't know,yes,"Burkinabe, CEDEAO",Militaires,don't know,no,"Nord, CEDEAO","dozos, forces impartiales ",yes,FN-FDS,"2002, 2003, 2004",don't know,yes,"pillages, questions de terre",don't know,yes,FN ,yes,yes,"mediation, public services","chefs traditionnels, politiciens, religieux, enseignants, personel de sante, leaders d'associations de jeunes, dozos",yes,enseignants,yes,"chefs traditionnels, policiens locaux, enseignants, personnel de sante, autres fonctionnaires",FN ,"FN, chefs traditionnels",FN,"FN, enseignants professionels, enseignants volontaires, ONG locales, acteurs internationaux",1,"FN, personnels de sante professionel, personnels de sante volontaires, acteurs internationaux",1,FN,personne,yes,"directement des commercants, laisser-passer, barrages routiers, licences pour les taxis, impots au marché",frequemment,"mauvais comportement de FN, questions ethniques",yes,maintenir l'ordre,yes,"barrages routiers, licences pour les taxis",yes,maintenir l'ordre,yes,"barrages routiers, licences pour les taxis",1,"oui, occasionellement",visite de nature privee (Zachariah); ceremonies publiques de nature religieuse ou nationale; ceremonies de nature privees; visite chez membres de communaute,"oui, occasionellement",visite de nature privee (Zachariah); ceremonies publiques de nature religieuse ou nationale; ceremonies de nature privees; visite chez membres de communaute,1,yes,dons/offres a la communaute; dons/offres a des particuliers,yes,1,don't know,don't know,don't know,lieutenant de police,1,"planteur, chef de village",animiste,Sokuya,CEPE,pas de difficultés,très sincere,connaissance moyenne,8,1,0,1,1,3,1,1,4,1,1,1,1,0,1,4,44.05,11.81044152,44.05,5,0,11.81044152,1,Vavoua,0,0,0.076923077,0.55,3.506329114,0.183714014,0.614285714,0.457142857,0.557142857,0.014285714,0.014285714,0.071428571,1.014285714
Man,Fagnampleu,2967,196,41.5,14.2,10.8,Independent,51.3,108,60.1,48.8,NA,RDR,48.8,20891,88288,0.236623,Yacouba,0,1,no,no,yes,yes,yes,no,3,yes,2002,Barrage,Ne sait pas,no,no,n/a,n/a,n/a,yes,Nord,"dozos, forces impartiales, autre (jeunes)",yes,"FN v ONUCI, FN v jeunes du village, FN v FN","2003, 2004",plus de cent,yes,"indiscipline, viol, vol",plus de cent,yes,"FN, criminels non identifiés",yes,yes,mediation,chefs traditionnels,yes,leaders des jeunes,yes,"politiciens locaux (fpi), commercants, enseignants, personnels de sante et autres fonctionnaires","FN, dozos",chefs traditionnels,FN,"enseignants professionels, enseignants volontaires",0,"personnels de sante volontaires, ONG locale, acteurs internationaux",0,autre (volontaires),personne,yes,"directement des commercants, laisser-passer, barrages routiers, impots au marché, autre (force)",frequemment,"questions de terre litiges foncier-proprieté, mauvais comportement des FN",no,n/a,no,n/a,no,n/a,no,n/a,0,no,n/a,no,n/a,0,no,n/a,no,0,no,no,don't know,don't know,0,President de jeunes / agriculteur,Aucune,Yacouba,BEPC,Pas de difficultés,Très sincere,Connaissance moyenne,5,0,0,1,0,0,1,1,4,1,1,1,0,0,0,0,31.5,7.99530662,50.05,2,0,7.99530662,0,Fagnampleu,0,0,NA,NA,NA,0.429931116,0.44,0.36,0.4,0.1,0.06,0.32,2.02
Facobly,Facobly,22407,91,0,0,0,,NA,100,39.7,42.3,NA,Independen,57.7,NA,NA,NA,Wê,0,1,yes,yes,yes,yes,yes,no,5,yes,2003,Camp militaire,"Silvé Romain (""commandant de secteur"")",yes,yes,don't know,Militaires,moins de cinquante,yes,don't know,none,no,n/a,n/a,n/a,yes,"appartenance politique, reglement de compte",plus de cent,yes,FN,yes,yes,"mediation, public services","chefs traditionnels, autres fonctionnaires, leaders d'associations de jeunes",no,n/a,yes,"chefs traditionnels, religieux, politicians locaux, commercants, enseignants, personnel de sante, autres fonctionnaires, leaders de la societe civile",FN,FN,FN,enseignants volontaires,0,personnels de sante volontaires,0,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, Impots au marché",occasionellement,"taxation, questions de terre/propriete",yes,maintenir l'ordre,no,n/a,no,n/a,no,n/a,0,"oui, occassionnellement",visite de nature privée,"oui, occasionnellement",visite ne nature privée,1,no,n/a,yes,0,no,no,no,no,0,president de jeunes,catholique,Wê,Baccalaureat,pas de difficultes,très sincere,bonne connaissance,7,1,0,0,1,1,1,1,3,1,1,1,1,0,1,2,21.15,10.01712869,NA,2,0,10.01712869,1,Facobly,1,0,0,0.325,4.575757576,0.420696245,0.7,0.1,0.7,0,0.2,0.4,0.6
Man,Man,188704,197,51.1,53,3.18,RDR,53,107,53.2,32.4,NA,Independen,38.4,20891,88288,0.236623,Yacouba,0,1,yes,yes,yes,yes,yes,yes,6,yes,2002,Camp militaire,Losseni Fofana,no,yes,"Malinke, Yacouba, Etrangers","Militaires, civiles",plus de deux-cent,no,missing,"dozos, forces impartiales, mercenaires liberiens",yes,"FN-FDS, Mercenaries Liberiens","2002, 2003, 2004",plus de cent,yes,"viols, pillages",plus de cent,yes,"FN, criminels, mercenaires liberiens",yes,yes,"mediation, public services, political support","chefs traditionnels, politiciens locaux, enseignants, leaders de la societe civile, leaders d'association de jeunes, dozos",no,n/a,yes,"politiciens locaux, enseignants, personnel de sante, autres fonctionnaires, leaders de la societe civile","FN, dozos",chefs traditionnels,"FN, forces impartiales","FN, enseignants professionnels, enseignants volontaires, acteurs internationaux",1,"FN, medecins professionels, acteurs internationaux",1,FN,FN (credit du nord),yes,"directement des commercants, laisser-passer, barrages routiers, licences pour les taxis, impots au marché",occasionellement,mauvais comportement,yes,maintenir l'ordre,no,n/a,yes,maintenir l'ordre,no,n/a,0,"oui, il reside ici (Loss); oui, moins frequemment que chaque mois (Sidiki Konate)",visite de nature militaire; ceremonies publiques de nature religieuse ou nationale; ceremonies publique de nature politique; ceremonies de nature privee; visite chez membres d'elites communautaires; visite de nature privee,"oui, il reside ici (Loss); oui, moins frequemment que chaque mois (Sidiki Konate)",visite de nature militaire; ceremonies publiques de nature religieuse ou nationale; ceremonies publique de nature politique; ceremonies de nature privee; visite chez membres d'elites communautaires; visite de nature privee,1,yes,dons/offres a la communaute; dons/offres a des particuliers; ouvres de development,yes,1,yes,no,no,leader communautaire; fonctionnaire; dirigeant d'ONG,1,fonctionnaire de la mairie,,,,Pas de difficultes,partiellement sincere,bonne connaissance,8,1,0,1,1,3,1,1,3,1,1,1,1,1,1,4,42.7,12.14793493,45.7,6,0,12.14793493,2,Man,0,1,0.103448276,0.333333333,4.152317881,0.389176903,0.44,0.36,0.4,0.1,0.06,0.32,2.02
Botro,Botro,20337,58,64.2,NA,11.2,UPCI,65.6,149,52.7,6.02,53.4,PDCI,53.4,NA,NA,NA,Baoulé,0,1,yes,yes,yes,yes,yes,missing,5,yes,2002,Camp militaire,Soro Souleymane,no,yes,Dioula,"Militaires, civiles, informants, guides",entre cent et deux-cent,yes,"Bouaké, Korhogo, Ferkessedougou, Seguéla",none,yes,FN-FN,"2005, 2006",don't know,yes,les hommes politiques qui ont crée des problemes; comportement des elements,plus de cent,yes,FN,yes,yes,"mediation, public services, political support","chefs traditionnels, religieux, commercants et hommes/femmes d'affaires, leaders de la societe civile (ONG)",no,n/a,yes,"chefs traditionnels, politiciens locaux, commercants et hommes/femmes d'affairs, enseignants, leaders de la societe civile","FN, chefs traditionnels, autres personnes puissants dans la communauté",personne,FN,"FN, enseignants volontaires, ONG locale, acteurs internationaux",1,"FN, ONG locale, autre personnes puissantes dans la communaute",1,personne,acteurs internationaux (CARE),yes,"directement des commercants, laisser-passer, barrages routiers, licences pour les taxis, impots au marché",occasionellement,"mauvais comportement des elements FN, Divergences d'opinions politiques",no,n/a,no,n/a,no,n/a,no,n/a,0,don't know,"Dosso Moussa, local politicians call on FN to help run affairs",don't know,n/a,0,missing,missing,missing,0,no,no,no,Commander at local gendarmerie,1,President des femmes,Autre chrétien,Baoulé,CEPE,Pas de difficultés,Très sincere,Bonne connaissance,7,1,0,1,1,1,1,1,3,1,1,1,1,1,0,1,NA,9.920197166,59.5,4,0,9.920197166,2,Botro,0,0,NA,0.181818182,6.285714286,0.247140783,NA,NA,NA,NA,NA,NA,NA
Séguéla,S�gu�la,63774,203,45.3,93.7,6.27,RDR,93.7,184,41,38.5,14.9,Independen,43.7,37406,44296,0.844455,Malinké,0,1,yes,yes,yes,yes,yes,yes,6,yes,2002,Camp militaire,"Zacharia Kone, Wattao",no,yes,don't know,don't know,plus de deux-cent,yes,"Nord, CEDEAO","dozos, forces impartiales",no,n/a,n/a,n/a,yes,mauvaise comportement de FN,don't know,yes,FN,yes,yes,"mediation, public services, political support","chefs traditionnels, religieux, enseignants, dozos",no,n/a,yes,"enseignants, autres fonctionnaires ","FN, dozos, forces impartiales",personne,"FN, dozos, forces impartiales","FN, enseignants professionels, enseignants volontaires",1,"FN, personnels de sante professionels",1,personne,personne,yes,laisser-passer,occasionellement,don't know,yes,"secteur educatifs, services de sante",no,n/a,no,n/a,no,n/a,0,"Oui, au moins chaque mois","Cérémonies de nature privée, Visite chez des membres des élites communautaires, Visite de nature privée","Oui, au moins chaque mois","Cérémonies de nature privée, Visite chez des membres des élites communautaires, Visite de nature privée",1,yes,"Dons/offres a la communaute, dons/offres a des particuliers",Yes,1,yes,no,no,fonctionnaires de mairie,1,porte-parole de chef de village,Islam,Malinke,BEPC,Pas de difficultes,Partiellement sincere,Connaissance moyenne,8,1,1,0,1,3,1,1,3,1,1,1,1,1,1,4,66.1,11.06310086,68.7,4,0,11.06310086,2,S�gu�la,0,1,0,0.150837989,1.748466258,NA,0.6,0.733333333,0.433333333,0,0,0,1.533333333
