ID,Word,Length,Short,HasE,IsNoun
1,Four,4,no,No,No
2,score,5,no,Yes,Yes
3,and,3,yes,No,No
4,seven,5,no,Yes,No
5,years,5,no,Yes,Yes
6,ago,3,yes,No,No
7,our,3,yes,No,No
8,fathers,7,no,Yes,Yes
9,brought,7,no,No,No
10,forth,5,no,No,No
11,upon,4,no,No,No
12,this,4,no,No,No
13,continent,9,no,Yes,Yes
14,a,1,yes,No,No
15,new,3,yes,Yes,No
16,nation,6,no,No,Yes
17,conceived,9,no,Yes,No
18,in,2,yes,No,No
19,liberty,7,no,Yes,Yes
20,and,3,yes,No,No
21,dedicated,9,no,Yes,No
22,to,2,yes,No,No
23,the,3,yes,Yes,No
24,proposition,11,no,No,Yes
25,that,4,no,No,No
26,all,3,yes,No,No
27,men,3,yes,Yes,Yes
28,are,3,yes,Yes,No
29,created,7,no,Yes,No
30,equal,5,no,Yes,No
31,Now,3,yes,No,No
32,we,2,yes,Yes,No
33,are,3,yes,Yes,No
34,engaged,7,no,Yes,No
35,in,2,yes,No,No
36,a,1,yes,No,No
37,great,5,no,Yes,No
38,civil,5,no,No,No
39,war,3,yes,No,Yes
40,testing,7,no,Yes,No
41,whether,7,no,Yes,No
42,that,4,no,No,No
43,nation,6,no,No,Yes
44,or,2,yes,No,No
45,any,3,yes,No,No
46,nation,6,no,No,Yes
47,so,2,yes,No,No
48,conceived,9,no,Yes,No
49,and,3,yes,No,No
50,so,2,yes,No,No
51,dedicated,9,no,Yes,No
52,can,3,yes,No,No
53,long,4,no,No,No
54,endure,6,no,Yes,No
55,We,2,yes,Yes,No
56,are,3,yes,Yes,No
57,met,3,yes,Yes,No
58,on,2,yes,No,No
59,a,1,yes,No,No
60,great,5,no,Yes,No
61,battlefield,11,no,Yes,Yes
62,of,2,yes,No,No
63,that,4,no,No,No
64,war,3,yes,No,Yes
65,We,2,yes,Yes,No
66,have,4,no,Yes,No
67,come,4,no,Yes,No
68,to,2,yes,No,No
69,dedicate,8,no,Yes,No
70,a,1,yes,No,No
71,portion,7,no,No,Yes
72,of,2,yes,No,No
73,that,4,no,No,No
74,field,5,no,Yes,Yes
75,as,2,yes,No,No
76,a,1,yes,No,No
77,final,5,no,No,No
78,resting,7,no,Yes,No
79,place,5,no,Yes,Yes
80,for,3,yes,No,No
81,those,5,no,Yes,No
82,who,3,yes,No,No
83,here,4,no,Yes,No
84,gave,4,no,Yes,No
85,their,5,no,Yes,No
86,lives,5,no,Yes,Yes
87,that,4,no,No,No
88,that,4,no,No,No
89,nation,6,no,No,Yes
90,might,5,no,No,No
91,live,4,no,Yes,No
92,It,2,yes,No,No
93,is,2,yes,No,No
94,altogether,10,no,Yes,No
95,fitting,7,no,No,No
96,and,3,yes,No,No
97,proper,6,no,Yes,No
98,that,4,no,No,No
99,we,2,yes,Yes,No
100,should,6,no,No,No
101,do,2,yes,No,No
102,this,4,no,No,No
103,But,3,yes,No,No
104,in,2,yes,No,No
105,a,1,yes,No,No
106,larger,6,no,Yes,No
107,sense,5,no,Yes,Yes
108,we,2,yes,Yes,No
109,cannot,6,no,No,No
110,dedicate,8,no,Yes,No
111,we,2,yes,Yes,No
112,cannot,6,no,No,No
113,consecrate,10,no,Yes,No
114,we,2,yes,Yes,No
115,cannot,6,no,No,No
116,hallow,6,no,No,No
117,this,4,no,No,No
118,ground,6,no,No,Yes
119,The,3,yes,Yes,No
120,brave,5,no,Yes,No
121,men,3,yes,Yes,Yes
122,living,6,no,No,No
123,and,3,yes,No,No
124,dead,4,no,Yes,No
125,who,3,yes,No,No
126,struggled,9,no,Yes,No
127,here,4,no,Yes,No
128,have,4,no,Yes,No
129,consecrated,11,no,Yes,No
130,it,2,yes,No,No
131,far,3,yes,No,No
132,above,5,no,Yes,No
133,our,3,yes,No,No
134,poor,4,no,No,No
135,power,5,no,Yes,Yes
136,to,2,yes,No,No
137,add,3,yes,No,No
138,or,2,yes,No,No
139,detract,7,no,Yes,No
140,The,3,yes,Yes,No
141,world,5,no,No,Yes
142,will,4,no,No,No
143,little,6,no,Yes,No
144,note,4,no,Yes,No
145,nor,3,yes,No,No
146,long,4,no,No,No
147,remember,8,no,Yes,No
148,what,4,no,No,No
149,we,2,yes,Yes,No
150,say,3,yes,No,No
151,here,4,no,Yes,No
152,but,3,yes,No,No
153,it,2,yes,No,No
154,can,3,yes,No,No
155,never,5,no,Yes,No
156,forget,6,no,Yes,No
157,what,4,no,No,No
158,they,4,no,Yes,No
159,did,3,yes,No,No
160,here,4,no,Yes,No
161,It,2,yes,No,No
162,is,2,yes,No,No
163,for,3,yes,No,No
164,us,2,yes,No,No
165,the,3,yes,Yes,No
166,living,6,no,No,Yes
167,rather,6,no,Yes,No
168,to,2,yes,No,No
169,be,2,yes,Yes,No
170,dedicated,9,no,Yes,No
171,here,4,no,Yes,No
172,to,2,yes,No,No
173,the,3,yes,Yes,No
174,unfinished,10,no,Yes,No
175,work,4,no,No,Yes
176,which,5,no,No,No
177,they,4,no,Yes,No
178,who,3,yes,No,No
179,fought,6,no,No,No
180,here,4,no,Yes,No
181,have,4,no,Yes,No
182,thus,4,no,No,No
183,far,3,yes,No,No
