TYPE,Date,Temp,,Laps ,Time,Cumulative Time,Calories,Distance,Avg Pace,Avg GAP,Avg HR,Max HR,Total Ascent,Total Descent,Avg Power,Avg W/kg,Max Power,Max W/kg,Avg Run Cadence,Avg Ground Contact Time,Avg GCT Balance,Avg Stride Length,Avg Vertical Oscillation,Avg Vertical Ratio,Avg Temperature,Best Pace,Max Run Cadence,Moving Time,Avg Moving Pace
RUN,24-Jun,79.00,74.00,1,01:39.3,01:39.3,23,0.26,6:20,--,149,164,--,--,--,--,--,--,160,--,--,1.58,--,--,--,5:32,176,1:38,6:15
RUN,24-Jun,79.00,74.00,2,02:00.1,03:39.4,25,0.08,25:08:00,--,133,164,441,444,--,--,--,--,32,--,--,2,--,--,--,3:05,166,0:55,11:31
RUN,24-Jun,79.00,74.00,3,01:42.2,05:21.6,25,0.26,6:32,--,151,166,--,--,--,--,--,--,161,--,--,1.53,--,--,--,5:32,169,1:42,6:31
RUN,24-Jun,79.00,74.00,4,02:00.2,07:21.8,26,0.05,41:47:00,--,135,166,--,--,--,--,--,--,51,--,--,0.75,--,--,--,6:41,166,0:09,3:08
RUN,24-Jun,79.00,74.00,5,01:40.3,09:02.1,25,0.26,6:20,--,156,171,--,--,--,--,--,--,162,--,--,1.57,--,--,--,5:18,174,1:37,6:08
RUN,24-Jun,79.00,74.00,6,02:00.1,11:02,28,0.05,42:39:00,--,142,171,--,--,--,--,--,--,50,--,--,0.75,--,--,--,6:13,164,0:13,4:37
RUN,24-Jun,79.00,74.00,7,01:39.5,12:42,26,0.26,6:18,--,159,173,--,--,--,--,--,--,156,--,--,1.64,--,--,--,5:22,176,01:39.5,6:19
RUN,24-Jun,79.00,74.00,8,02:00.3,14:42,27,0.06,35:15:00,--,143,174,2,--,--,--,--,--,56,--,--,0.81,--,--,--,6:12,166,0:16,4:41
RUN,24-Jun,79.00,74.00,9,01:43.4,16:25,27,0.27,6:29,--,158,173,--,--,--,--,--,--,162,--,--,1.53,--,--,--,6:04,173,01:43.4,6:29
RUN,24-Jun,79.00,74.00,10,01:59.3,18:25,27,0.04,51:41:00,--,144,173,--,--,--,--,--,--,36,--,--,0.87,--,--,--,6:16,163,0:10,4:20
RUN,24-Jun,79.00,74.00,11,01:44.2,20:09,27,0.27,6:28,--,161,174,--,--,--,--,--,--,158,--,--,1.57,--,--,--,5:59,173,1:41,6:16
RUN,24-Jun,79.00,74.00,12,02:03.3,22:12,26,0.05,41:01:00,--,144,174,--,--,--,--,--,--,33,--,--,1.18,--,--,--,6:29,164,0:16,5:19
RUN,24-Jun,79.00,74.00,13,01:45.4,23:58,27,0.27,6:35,--,161,176,--,--,--,--,--,--,154,--,--,1.59,--,--,--,6:01,168,01:45.4,6:35
RUN,24-Jun,79.00,74.00,14,01:55.3,25:53:00,26,0.05,40:53:00,--,147,176,--,--,--,--,--,--,60,--,--,0.66,--,--,--,6:32,166,0:07,2:29
RUN,24-Jun,79.00,74.00,15,01:46.2,27:39:00,27,0.27,6:36,--,162,174,--,--,--,--,--,--,155,--,--,1.57,--,--,--,6:14,168,1:46,6:35
RUN,24-Jun,79.00,74.00,16,01:59.3,29:39:00,27,0.05,40:24:00,--,149,173,--,--,--,--,--,--,46,--,--,0.86,--,--,--,6:43,163,0:20,6:46
RUN,24-Jun,79.00,74.00,17,01:41.6,31:20:00,27,0.26,6:25,--,166,178,--,--,--,--,--,--,153,--,--,1.64,--,--,--,5:57,176,1:41,6:23
RUN,24-Jun,79.00,74.00,18,01:59.5,33:20:00,26,0.03,57:26:00,--,150,179,--,--,--,--,--,--,27,--,--,1.03,--,--,--,6:30,169,0:17,8:10
RUN,24-Jun,79.00,74.00,19,01:40.9,35:00:00,27,0.27,6:13,--,168,180,--,--,--,--,--,--,159,--,--,1.63,--,--,--,5:46,172,01:40.9,6:13
RUN,24-Jun,79.00,74.00,20,02:00.0,37:01:00,23,0.03,0,--,149,179,--,--,--,--,--,--,38,--,--,0.69,--,--,--,6:13,164,0:03,1:32
RUN,24-Jun,79.00,74.00,21,01:41.0,38:42:00,27,0.26,6:24,--,169,181,--,--,--,--,--,--,152,--,--,1.66,--,--,--,5:40,176,01:41.0,6:24
RUN,24-Jun,79.00,74.00,22,02:00.3,40:42:00,25,0.04,53:39:00,--,152,182,--,--,--,--,--,--,30,--,--,1,--,--,--,6:30,166,0:08,3:34
