"","year","winner","winner_score","loser_score","army_score","navy_score","total_score","location","city","state","total","diff","army_wins","philly"
"1","1890","Navy",24,0,0,24,24,"""The Plain""<U+00A0>USMA","West Point","NY",24,24,"0","0"
"2","1891","Army",32,16,32,16,48,"Thompson Stadium<U+00A0>USNA","Annapolis","MD",48,16,"1","0"
"3","1892","Navy",12,4,4,12,16,"""The Plain"" USMA","West Point","NY",16,8,"0","0"
"4","1893","Navy",6,4,4,6,10,"Thompson Stadium USNA","Annapolis","MD",10,2,"0","0"
"5","1899","Army",17,5,17,5,22,"Franklin Field","Philadelphia","PA",22,12,"1","1"
"6","1900","Navy",11,7,7,11,18,"Franklin Field","Philadelphia","PA",18,4,"0","1"
"7","1901","Army",11,5,11,5,16,"Franklin Field","Philadelphia","PA",16,6,"1","1"
"8","1902","Army",22,8,22,8,30,"Franklin Field","Philadelphia","PA",30,14,"1","1"
"9","1903","Army",40,5,40,5,45,"Franklin Field","Philadelphia","PA",45,35,"1","1"
"10","1904","Army",11,0,11,0,11,"Franklin Field","Philadelphia","PA",11,11,"1","1"
"11","1905","Tie",6,6,6,6,NA,"Osborne Field","Princeton","NJ",12,0,"0","0"
"12","1906","Navy",10,0,0,10,10,"Franklin Field","Philadelphia","PA",10,10,"0","1"
"13","1907","Navy",6,0,0,6,6,"Franklin Field","Philadelphia","PA",6,6,"0","1"
"14","1908","Army",6,4,6,4,10,"Franklin Field","Philadelphia","PA",10,2,"1","1"
"15","1910","Navy",3,0,0,3,3,"Franklin Field","Philadelphia","PA",3,3,"0","1"
"16","1911","Navy",3,0,0,3,3,"Franklin Field","Philadelphia","PA",3,3,"0","1"
"17","1912","Navy",6,0,0,6,6,"Franklin Field","Philadelphia","PA",6,6,"0","1"
"18","1913","Army",22,9,22,9,31,"Polo Grounds","New York","NY",31,13,"1","0"
"19","1914","Army",20,0,20,0,20,"Franklin Field","Philadelphia","PA",20,20,"1","1"
"20","1915","Army",14,0,14,0,14,"Polo Grounds","New York","NY",14,14,"1","0"
"21","1916","Army",15,7,15,7,22,"Polo Grounds","New York","NY",22,8,"1","0"
"22","1919","Navy",6,0,0,6,6,"Polo Grounds","New York","NY",6,6,"0","0"
"23","1920","Navy",7,0,0,7,7,"Polo Grounds","New York","NY",7,7,"0","0"
"24","1921","Navy",7,0,0,7,7,"Polo Grounds","New York","NY",7,7,"0","0"
"25","1922","Army",17,14,17,14,31,"Franklin Field","Philadelphia","PA",31,3,"1","1"
"26","1923","Tie",0,0,0,0,NA,"Polo Grounds","New York","NY",0,0,"0","0"
"27","1924","Army",12,0,12,0,12,"Municipal Stadium","Baltimore","MD",12,12,"1","0"
"28","1925","Army",10,3,10,3,13,"Polo Grounds","New York","NY",13,7,"1","0"
"29","1926","Tie",21,21,21,21,NA,"Soldier Field","Chicago","IL",42,0,"0","0"
"30","1927","Army",14,9,14,9,23,"Polo Grounds","New York","NY",23,5,"1","0"
"31","1930","Army",6,0,6,0,6,"Yankee Stadium","Bronx","NY",6,6,"1","0"
"32","1931","Army",17,7,17,7,24,"Yankee Stadium","Bronx","NY",24,10,"1","0"
"33","1932","Army",20,0,20,0,20,"Franklin Field","Philadelphia","PA",20,20,"1","1"
"34","1933","Army",12,7,12,7,19,"Franklin Field","Philadelphia","PA",19,5,"1","1"
"35","1934","Navy",3,0,0,3,3,"Franklin Field","Philadelphia","PA",3,3,"0","1"
"36","1935","Army",28,6,28,6,34,"Franklin Field","Philadelphia","PA",34,22,"1","1"
"37","1936","Navy",7,0,0,7,7,"Municipal Stadium","Philadelphia","PA",7,7,"0","1"
"38","1937","Army",6,0,6,0,6,"Municipal Stadium","Philadelphia","PA",6,6,"1","1"
"39","1938","Army",14,7,14,7,21,"Municipal Stadium","Philadelphia","PA",21,7,"1","1"
"40","1939","Navy",10,0,0,10,10,"Municipal Stadium","Philadelphia","PA",10,10,"0","1"
"41","1940","Navy",14,0,0,14,14,"Municipal Stadium","Philadelphia","PA",14,14,"0","1"
"42","1941","Navy",14,6,6,14,20,"Municipal Stadium","Philadelphia","PA",20,8,"0","1"
"43","1942","Navy",14,0,0,14,14,"Thompson Stadium","Annapolis","MD",14,14,"0","0"
"44","1943","Navy",13,0,0,13,13,"Michie Stadium","West Point","NY",13,13,"0","0"
"45","1944","Army",23,7,23,7,30,"Municipal Stadium","Baltimore","MD",30,16,"1","0"
"46","1945","Army",32,13,32,13,45,"Municipal Stadium","Philadelphia","PA",45,19,"1","1"
"47","1946","Army",21,18,21,18,39,"Municipal Stadium","Philadelphia","PA",39,3,"1","1"
"48","1947","Army",21,0,21,0,21,"Municipal Stadium","Philadelphia","PA",21,21,"1","1"
"49","1948","Tie",21,21,21,21,NA,"Municipal Stadium","Philadelphia","PA",42,0,"0","1"
"50","1949","Army",38,0,38,0,38,"Municipal Stadium","Philadelphia","PA",38,38,"1","1"
"51","1950","Navy",14,2,2,14,16,"Municipal Stadium","Philadelphia","PA",16,12,"0","1"
