SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,8129 Carrleigh Pkwy,Springfield,VA,22152,475000,3,2.5,CHARLESTOWN,1540,1416,1968,4,308,229,Active,,,http://www.redfin.com/VA/West-Springfield/8129-Carrleigh-Pkwy-22152/home/9745663,BRIGHT MLS,VAFX2027174,N,Y,38.789354,-77.226478
MLS Listing,,Townhouse,8809 Surveyors Pl,Springfield,VA,22152,510000,4,3.5,HILLSIDE COMMONS,1988,2287,1978,54,257,80,Active,,,http://www.redfin.com/VA/West-Springfield/8809-Surveyors-Pl-22152/home/9772520,BRIGHT MLS,VAFX2018628,N,Y,38.777624,-77.2469349
MLS Listing,,Single Family Residential,6722 Rolling Rd,Springfield,VA,22152,619850,4,3.0,WEST SPRINGFIELD,2768,10929,1967,3,224,,Active,,,http://www.redfin.com/VA/West-Springfield/6722-Rolling-Rd-22152/home/9772129,BRIGHT MLS,VAFX2027732,N,Y,38.7691434,-77.2295807
MLS Listing,,Single Family Residential,5617 Eastbourne Dr,Springfield,VA,22151,550000,4,2.5,KINGS PARK,2290,11200,1965,3,240,,Active,,,http://www.redfin.com/VA/Springfield/5617-Eastbourne-Dr-22151/home/9740833,BRIGHT MLS,VAFX2027728,N,Y,38.7975318,-77.2443994
MLS Listing,,Single Family Residential,7811 Harwood Pl,Springfield,VA,22152,679900,4,2.0,KEENE MILL MANOR,1570,13619,1964,4,433,,Active,,,http://www.redfin.com/VA/West-Springfield/7811-Harwood-Pl-22152/home/9773021,BRIGHT MLS,VAFX2027606,N,Y,38.7766048,-77.2164893
MLS Listing,,Condo/Co-op,5902-F Surrey Hill Pl #704,Springfield,VA,22152,222500,1,1.0,CARDINAL FOREST CONDO,676,,1968,4,329,200,Active,,,http://www.redfin.com/VA/West-Springfield/5902F-Surrey-Hill-Pl-22152/unit-704/home/176883913,BRIGHT MLS,VAFX2001271,N,Y,38.792908,-77.234628
MLS Listing,,Townhouse,6304 Over See Ct,Springfield,VA,22152,495000,3,2.5,KEENE MILL OVERLOOK,1076,1342,1988,4,460,67,Active,,,http://www.redfin.com/VA/West-Springfield/6304-Over-See-Ct-22152/home/9744768,BRIGHT MLS,VAFX2027618,N,Y,38.779086,-77.238753
MLS Listing,,Single Family Residential,7707 Carrleigh Pkwy,Springfield,VA,22152,855000,5,4.0,CARDINAL FOREST,2867,15599,2016,4,298,,Active,,,http://www.redfin.com/VA/West-Springfield/7707-Carrleigh-Pkwy-22152/home/9745856,BRIGHT MLS,VAFX2027504,N,Y,38.7821417,-77.2112792
MLS Listing,,Condo/Co-op,5802 Torington Unit E,Springfield,VA,22152,280000,2,1.5,CARDINAL FOREST CONDO,1104,,1968,6,254,375,Active,,,http://www.redfin.com/VA/West-Springfield/5802-Torington-Dr-22152/unit-E/home/176806636,BRIGHT MLS,VAFX2020104,N,Y,38.7937849,-77.2374439
MLS Listing,,Townhouse,6270 Hillside,Springfield,VA,22152,469999,3,3.5,HILLSIDE LANDING SEC 1,1720,2135,1984,7,273,65,Active,,,http://www.redfin.com/VA/West-Springfield/6270-Hillside-Rd-22152/home/9744698,BRIGHT MLS,VAFX2001493,N,Y,38.779894,-77.249103
MLS Listing,,Townhouse,8743 Sheridan Farms Ct,Springfield,VA,22152,504900,3,3.0,HILLSIDE RIDGE SEC 1,1864,1694,1978,8,271,156,Active,,,http://www.redfin.com/VA/West-Springfield/8743-Sheridan-Farms-Ct-22152/home/9772561,BRIGHT MLS,VAFX2001893,N,Y,38.777623,-77.246587
MLS Listing,,Single Family Residential,6401 Rivington Rd,Springfield,VA,22152,649900,5,3.0,ROLLING VALLEY,1344,14450,1965,11,484,,Active,,,http://www.redfin.com/VA/West-Springfield/6401-Rivington-Rd-22152/home/9771647,BRIGHT MLS,VAFX2026390,N,Y,38.7762256,-77.2321404
